Series,ImageID,Filename,Repeat,HashMs,SignMs,EmbedMs,ExtractRecoverMs,VerifyMs,TotalMs,EmbeddingSuccess
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,1,1.38458333333333,5.278875,15.1767083333333,3.93620833333333,2.84529166666667,28.650625,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,2,1.358625,5.25608333333333,13.375375,3.36425,2.21620833333333,25.60075,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,3,1.34008333333333,5.22083333333333,13.3372916666667,3.480375,2.5615,25.9622916666667,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,4,1.2845,5.055625,13.0028333333333,3.35729166666667,2.251125,24.9720833333333,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,5,1.29125,5.07804166666667,12.2815833333333,3.36558333333333,2.55325,24.589,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,6,1.26145833333333,5.00241666666667,12.95575,3.40045833333333,4.069,26.7059166666667,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,7,1.27475,5.07408333333333,12.7237916666667,3.33325,2.312875,24.737625,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,8,1.39708333333333,5.16983333333333,13.33,3.575625,2.39604166666667,25.8898333333333,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,9,1.344375,5.10041666666667,12.839875,3.58125,1.92241666666667,24.8069583333333,1
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,10,1.26095833333333,5.00270833333333,12.5717916666667,3.29779166666667,1.80641666666667,23.955375,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,1,1.30879166666667,5.02370833333333,13.3593333333333,3.92866666666667,1.956375,25.5967916666667,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,2,1.30445833333333,5.11045833333333,12.8689583333333,3.51829166666667,1.77666666666667,24.598125,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,3,1.52629166666667,5.15645833333333,13.117625,3.45066666666667,2.07425,25.348375,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,4,1.33875,5.18091666666667,13.1620416666667,3.56479166666667,1.99220833333333,25.2627083333333,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,5,1.382,5.156,13.114375,3.53045833333333,1.81875,25.0208333333333,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,6,1.356875,5.06845833333333,13.4430833333333,3.35529166666667,1.84541666666667,25.088125,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,7,1.373625,5.06508333333333,12.8445,3.508125,1.79920833333333,24.6175,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,8,1.27366666666667,5.03120833333333,13.3579166666667,3.535375,1.69641666666667,24.911125,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,9,1.42658333333333,5.03233333333333,13.0540416666667,3.56279166666667,1.602625,24.6942083333333,1
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,10,1.254375,5.01208333333333,13.4167083333333,3.54491666666667,1.579125,24.8215833333333,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,1,1.378125,5.25820833333333,12.9765416666667,3.66291666666667,1.72754166666667,25.0262083333333,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,2,1.23183333333333,5.06625,13.0261666666667,3.62158333333333,1.68829166666667,24.6502916666667,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,3,1.248125,5.08554166666667,12.764875,3.74783333333333,1.65283333333333,24.51575,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,4,1.20054166666667,5.01558333333333,12.714375,3.29208333333333,1.57545833333333,23.8135833333333,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,5,1.23629166666667,5.01066666666667,12.5050833333333,3.439375,1.54245833333333,23.748375,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,6,1.23120833333333,4.98775,12.5580833333333,3.44354166666667,1.53554166666667,23.769875,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,7,1.22858333333333,4.97666666666667,12.5175833333333,3.41741666666667,1.52579166666667,23.679625,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,8,1.2375,4.97770833333333,12.534375,3.43091666666667,1.534625,23.7287916666667,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,9,1.230125,5.00095833333333,12.8011666666667,3.60054166666667,1.66391666666667,24.3115,1
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,10,1.27395833333333,5.121625,13.2525833333333,3.520125,1.74916666666667,24.9348333333333,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,1,1.24054166666667,5.10366666666667,13.20025,3.335,1.819125,24.7229166666667,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,2,1.24408333333333,5.03595833333333,13.3472083333333,3.41704166666667,1.62304166666667,24.6855,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,3,1.26354166666667,5.05766666666667,13.2059583333333,3.54229166666667,1.65154166666667,24.742125,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,4,1.20020833333333,5.016375,13.0972916666667,3.5565,1.66479166666667,24.5519166666667,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,5,1.34133333333333,4.99083333333333,13.3235416666667,3.65825,1.6385,24.9697916666667,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,6,1.248875,5.02958333333333,13.4215,3.538375,1.56983333333333,24.8226666666667,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,7,1.29220833333333,5.02433333333333,13.01075,3.73754166666667,1.69475,24.77825,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,8,1.22370833333333,5.03408333333333,13.243875,3.67775,1.57479166666667,24.7694166666667,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,9,1.27129166666667,5.00795833333333,13.18175,3.478625,1.91983333333333,24.87525,1
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,10,1.19395833333333,5.05175,12.8022083333333,3.5245,1.66775,24.2571666666667,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,1,2.119375,34.7425,31.7070416666667,4.17554166666667,2.31833333333333,75.7956666666667,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,2,1.31283333333333,5.51004166666667,13.172125,3.680875,2.08820833333333,26.0403333333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,3,1.42129166666667,5.15866666666667,12.999,3.437375,1.72391666666667,24.8984583333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,4,1.242125,5.10125,12.5860833333333,3.35420833333333,1.66370833333333,24.0264583333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,5,1.243375,5.10258333333333,12.8491666666667,3.45766666666667,1.59166666666667,24.3248333333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,6,1.24166666666667,5.07745833333333,13.013875,3.4305,1.562125,24.3690833333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,7,1.246125,5.07908333333333,13.016625,3.34370833333333,1.53091666666667,24.3169583333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,8,1.23125,5.0605,12.7817916666667,3.340375,1.493875,23.9778333333333,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,9,1.22058333333333,4.97066666666667,12.5212083333333,3.30408333333333,1.55475,23.600375,1
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,10,1.26470833333333,5.16341666666667,13.1181666666667,3.22845833333333,1.79683333333333,24.594125,1
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,1,1.2215,4.96166666666667,13.2324583333333,3.43008333333333,1.53925,24.387875,1
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,2,1.248125,4.957875,12.8460833333333,3.40104166666667,1.50558333333333,23.962,1
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,3,1.25608333333333,4.93716666666667,12.93375,3.44420833333333,1.49970833333333,24.0746666666667,1
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,4,1.227375,4.93804166666667,12.959625,3.35329166666667,1.42425,23.9054583333333,1
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,5,1.23625,4.9655,12.5692083333333,3.50025,1.61775,23.8943333333333,1
