Series,ImageID,Filename,InputPath,ImageHeight,ImageWidth,SourceClass,ConversionNote,TotalBlocks,ExpandableBlocks,NonExpandableBlocks,ExpandableBlocksPercent,EmbeddingCapacityBits,MaximumCapacityBpp,PayloadBits,PaddedPayloadBits,EmbeddedBits,EmbeddingRateBpp,EmbeddingSuccess,PSNRdB,SSIM,BitErrors,WatermarkBER,RecoveryExact,ParseSuccess,VerificationStatus,ChangedPixels,ChangedPixelsPercent,MaxPixelDifference,HashMedianMs,HashQ1Ms,HashQ3Ms,SignMedianMs,SignQ1Ms,SignQ3Ms,EmbedMedianMs,EmbedQ1Ms,EmbedQ3Ms,ExtractRecoverMedianMs,ExtractRecoverQ1Ms,ExtractRecoverQ3Ms,VerifyMedianMs,VerifyQ1Ms,VerifyQ3Ms,TotalMedianMs,TotalQ1Ms,TotalQ3Ms,Modality,ImageCategory
CT-01,CT-01_CT-01_image-00000_ai-generated,CT-01_image-00000_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-01/CT-01_image-00000_ai-generated.tiff,512,512,uint8,none,16384,10482,5902,63.97705078125,167712,0.6397705078125,5792,5792,5792,0.0220947265625,1,68.3246594886136,0.999313745303211,0,0,1,1,AUTHENTIC_AI_GENERATED,2507,0.956344604492188,1,1.31566666666667,1.2771875,1.3550625,5.08922916666667,5.06023958333333,5.20808333333333,12.9792916666667,12.7528125,13.33546875,3.38302083333333,3.35903125,3.5518125,2.35445833333333,2.2249375,2.5594375,25.2864166666667,24.7549583333333,25.9441770833333,CT,AI-generated
CT-01,CT-01_CT-01_image-00091_ai-generated,CT-01_image-00091_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-01/CT-01_image-00091_ai-generated.tiff,512,512,uint8,none,16384,10155,6229,61.981201171875,162480,0.61981201171875,5792,5792,5792,0.0220947265625,1,68.3420174046822,0.999318255407225,0,0,1,1,AUTHENTIC_AI_GENERATED,2497,0.952529907226562,1,1.3478125,1.30554166666667,1.37990625,5.06677083333333,5.03148958333333,5.14461458333333,13.1398333333333,13.069125,13.3589791666667,3.53291666666667,3.51066666666667,3.55832291666667,1.80897916666667,1.71647916666667,1.92863541666667,24.9659791666667,24.7260520833333,25.2190625,CT,AI-generated
CT-01,CT-01_CT-01_image-00181_ai-generated,CT-01_image-00181_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-01/CT-01_image-00181_ai-generated.tiff,512,512,uint8,none,16384,10209,6175,62.310791015625,163344,0.62310791015625,5792,5792,5792,0.0220947265625,1,68.2559133785596,0.99929810053644,0,0,1,1,AUTHENTIC_AI_GENERATED,2547,0.971603393554688,1,1.2340625,1.23039583333333,1.24546875,5.013125,4.99105208333333,5.08071875,12.739625,12.5403020833333,12.9326979166667,3.48183333333333,3.43303125,3.61632291666667,1.61414583333333,1.53727083333333,1.68219791666667,24.0625416666667,23.75375,24.61665625,CT,AI-generated
CT-02,CT-02_CT-02_image-00000_ai-generated,CT-02_image-00000_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-02/CT-02_image-00000_ai-generated.tiff,512,512,uint8,none,16384,9688,6696,59.130859375,155008,0.59130859375,5792,5792,5792,0.0220947265625,1,68.31427794227,0.999311508343007,0,0,1,1,AUTHENTIC_AI_GENERATED,2513,0.958633422851562,1,1.24647916666667,1.22791666666667,1.26935416666667,5.03183333333333,5.01836458333333,5.04780208333333,13.2031041666667,13.11840625,13.303625,3.54033333333333,3.49009375,3.6328125,1.65816666666667,1.62690625,1.688,24.7557708333333,24.6948541666667,24.8115625,CT,AI-generated
CT-02,CT-02_CT-02_image-00071_ai-generated,CT-02_image-00071_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-02/CT-02_image-00071_ai-generated.tiff,512,512,uint8,none,16384,9825,6559,59.967041015625,157200,0.59967041015625,5792,5792,5792,0.0220947265625,1,68.2678656619963,0.999300947010824,0,0,1,1,AUTHENTIC_AI_GENERATED,2540,0.96893310546875,1,1.24475,1.24178125,1.30080208333333,5.10191666666667,5.07786458333333,5.16222916666667,13.0064375,12.7986354166667,13.09278125,3.39235416666667,3.34120833333333,3.45259375,1.6276875,1.55659375,1.77860416666667,24.3469583333333,24.0990833333333,24.822375,CT,AI-generated
CT-02,CT-02_CT-02_image-00146_ai-generated,CT-02_image-00146_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-02/CT-02_image-00146_ai-generated.tiff,512,512,uint8,none,16384,9601,6783,58.599853515625,153616,0.58599853515625,5792,5792,5792,0.0220947265625,1,68.3385402669312,0.999319209951813,0,0,1,1,AUTHENTIC_AI_GENERATED,2499,0.953292846679688,1,1.23260416666667,1.22684375,1.247,4.9471875,4.93869791666667,4.96071875,13.0535208333333,12.868,13.22653125,3.43714583333333,3.37244791666667,3.48565625,1.50264583333333,1.45554166666667,1.534625,24.2162291666667,23.9901666666667,24.3580416666667,CT,AI-generated
CT-03,CT-03_CT-03_image-00000_ai-generated,CT-03_image-00000_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-03/CT-03_image-00000_ai-generated.tiff,512,512,uint8,none,16384,10231,6153,62.445068359375,163696,0.62445068359375,5792,5792,5792,0.0220947265625,1,68.3281255261631,0.999315053929493,0,0,1,1,AUTHENTIC_AI_GENERATED,2505,0.955581665039062,1,1.23125,1.22691666666667,1.24064583333333,4.94227083333333,4.93938541666667,4.94786458333333,12.9178958333333,12.6640104166667,13.0444166666667,3.282,3.18691666666667,3.36819791666667,1.44014583333333,1.42375,1.484375,23.9417708333333,23.49871875,24.0393958333333,CT,AI-generated
CT-03,CT-03_CT-03_image-00170_ai-generated,CT-03_image-00170_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-03/CT-03_image-00170_ai-generated.tiff,512,512,uint8,none,16384,9892,6492,60.3759765625,158272,0.603759765625,5792,5792,5792,0.0220947265625,1,68.2712866506089,0.999300248313423,0,0,1,1,AUTHENTIC_AI_GENERATED,2538,0.968170166015625,1,1.23795833333333,1.22648958333333,1.24102083333333,4.94654166666667,4.94163541666667,4.95096875,12.8036875,12.75675,12.8499375,3.28120833333333,3.26945833333333,3.31875,1.42108333333333,1.41371875,1.4360625,23.6794166666667,23.6524791666667,23.7888229166667,CT,AI-generated
CT-03,CT-03_CT-03_image-00352_ai-generated,CT-03_image-00352_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/CT-03/CT-03_image-00352_ai-generated.tiff,512,512,uint8,none,16384,9997,6387,61.016845703125,159952,0.61016845703125,5792,5792,5792,0.0220947265625,1,68.2815658147425,0.999302174711481,0,0,1,1,AUTHENTIC_AI_GENERATED,2532,0.96588134765625,1,1.22041666666667,1.21738541666667,1.22770833333333,4.9469375,4.92209375,4.95515625,12.6553333333333,12.54746875,12.76553125,3.31452083333333,3.30248958333333,3.32427083333333,1.43375,1.41972916666667,1.44595833333333,23.5574583333333,23.49878125,23.64859375,CT,AI-generated
MR-01,MR-01_MR-01_image-00008_ai-generated,MR-01_image-00008_ai-generated.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/AI_GENERATED_OUTPUTS/MR-01/MR-01_image-00008_ai-generated.tiff,512,512,uint8,none,16384,10572,5812,64.5263671875,169152,0.645263671875,5792,5792,5792,0.0220947265625,1,68.2576188350194,0.999298174659738,0,0,1,1,AUTHENTIC_AI_GENERATED,2546,0.971221923828125,1,1.21475,1.20991666666667,1.22027083333333,4.93675,4.92761458333333,4.94034375,12.8242291666667,12.7236145833333,12.99459375,3.40566666666667,3.34765625,3.43401041666667,1.41658333333333,1.41082291666667,1.43316666666667,23.7797708333333,23.7043958333333,23.9724166666667,MR,AI-generated
